2020-04-27 13:04:574 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-27 13:04:27 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-27 13:04:227 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-27 13:04:453 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-27 13:04:920 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-27 13:04:114 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-27 13:04:98 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-27 13:04:116 INFO  Homepage :35 - enter user nameAdminto the field[[ChromeDriver: chrome on WINDOWS (e541ab62b45134e2f53cb609127dcc78)] -> xpath: //input[@id='txtUsername']]
2020-04-27 13:04:353 INFO  Homepage :40 - enter passwordadmin123to the field[[ChromeDriver: chrome on WINDOWS (e541ab62b45134e2f53cb609127dcc78)] -> xpath: //input[@id='txtPassword']]
2020-04-27 13:04:844 INFO  Homepage :45 - click on log in brnProxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-27 13:04:918 INFO  DashboardPage :22 - get welcome to admin text[[ChromeDriver: chrome on WINDOWS (e541ab62b45134e2f53cb609127dcc78)] -> xpath: //a[@id='welcome']]
2020-04-27 13:04:228 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-27 13:04:237 INFO  Homepage :38 - enter user nameAdminto the field[[ChromeDriver: chrome on WINDOWS (3c0c822b83d6cf49419f5422c80a9b82)] -> xpath: //input[@id='txtUsername']]
2020-04-27 13:04:470 INFO  Homepage :43 - enter passwordadmin123to the field[[ChromeDriver: chrome on WINDOWS (3c0c822b83d6cf49419f5422c80a9b82)] -> xpath: //input[@id='txtPassword']]
2020-04-27 13:04:972 INFO  Homepage :48 - click on log in brnProxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-27 13:04:30 INFO  DashboardPage :28 - get welcome to admin text[[ChromeDriver: chrome on WINDOWS (3c0c822b83d6cf49419f5422c80a9b82)] -> xpath: //a[@id='welcome']]
2020-04-27 13:04:585 INFO  BrowserSelector :24 - Launching Chrome Browser
2020-04-27 13:04:787 INFO  Homepage :38 - enter user nameAdminto the field[[ChromeDriver: chrome on WINDOWS (86009a2afb86c9e676e705ee9a355045)] -> xpath: //input[@id='txtUsername']]
2020-04-27 13:04:201 INFO  Homepage :43 - enter passwordadmin123to the field[[ChromeDriver: chrome on WINDOWS (86009a2afb86c9e676e705ee9a355045)] -> xpath: //input[@id='txtPassword']]
2020-04-27 13:04:400 INFO  Homepage :48 - click on log in brnProxy element for: DefaultElementLocator 'By.id: btnLogin'
2020-04-27 13:04:30 INFO  DashboardPage :28 - get welcome to admin text[[ChromeDriver: chrome on WINDOWS (86009a2afb86c9e676e705ee9a355045)] -> xpath: //a[@id='welcome']]
2020-04-27 14:04:572 INFO  BrowserSelector :24 - Launching Chrome Browser
